,close,date,time
2020-11-20 11:20:00,249.79,2020-11-20,1120
2020-11-20 11:25:00,249.16,2020-11-20,1125
2020-11-20 11:30:00,249.06,2020-11-20,1130
2020-11-20 13:05:00,249.3,2020-11-20,1305
2020-11-20 13:10:00,249.35,2020-11-20,1310
2020-11-20 13:15:00,249.96,2020-11-20,1315
2020-11-20 13:20:00,249.49,2020-11-20,1320
2020-11-20 13:25:00,249.93,2020-11-20,1325
2020-11-20 13:30:00,249.31,2020-11-20,1330
2020-11-20 13:35:00,249.54,2020-11-20,1335
2020-11-20 13:40:00,249.99,2020-11-20,1340
2020-11-20 13:45:00,250.12,2020-11-20,1345
2020-11-20 13:50:00,249.88,2020-11-20,1350
2020-11-20 13:55:00,250.0,2020-11-20,1355
2020-11-20 14:00:00,250.04,2020-11-20,1400
2020-11-20 14:05:00,250.12,2020-11-20,1405
2020-11-20 14:10:00,250.06,2020-11-20,1410
2020-11-20 14:15:00,250.65,2020-11-20,1415
2020-11-20 14:20:00,250.75,2020-11-20,1420
2020-11-20 14:25:00,251.0,2020-11-20,1425
2020-11-20 14:30:00,251.36,2020-11-20,1430
2020-11-20 14:35:00,251.28,2020-11-20,1435
2020-11-20 14:40:00,251.57,2020-11-20,1440
2020-11-20 14:45:00,252.44,2020-11-20,1445
2020-11-20 14:50:00,253.5,2020-11-20,1450
2020-11-20 14:55:00,252.1,2020-11-20,1455
2020-11-20 15:00:00,252.08,2020-11-20,1500
2020-11-23 09:35:00,251.5,2020-11-23,0935
2020-11-23 09:40:00,254.6,2020-11-23,0940
2020-11-23 09:45:00,253.77,2020-11-23,0945
2020-11-23 09:50:00,252.31,2020-11-23,0950
2020-11-23 09:55:00,252.88,2020-11-23,0955
2020-11-23 10:00:00,253.49,2020-11-23,1000
2020-11-23 10:05:00,254.9,2020-11-23,1005
2020-11-23 10:10:00,256.55,2020-11-23,1010
2020-11-23 10:15:00,256.66,2020-11-23,1015
2020-11-23 10:20:00,259.59,2020-11-23,1020
2020-11-23 10:25:00,258.52,2020-11-23,1025
2020-11-23 10:30:00,257.66,2020-11-23,1030
2020-11-23 10:35:00,256.09,2020-11-23,1035
2020-11-23 10:40:00,256.3,2020-11-23,1040
2020-11-23 10:45:00,255.97,2020-11-23,1045
2020-11-23 10:50:00,256.96,2020-11-23,1050
2020-11-23 10:55:00,257.36,2020-11-23,1055
2020-11-23 11:00:00,255.61,2020-11-23,1100
2020-11-23 11:05:00,254.47,2020-11-23,1105
2020-11-23 11:10:00,254.2,2020-11-23,1110
2020-11-23 11:15:00,254.02,2020-11-23,1115
2020-11-23 11:20:00,254.61,2020-11-23,1120
2020-11-23 11:25:00,254.77,2020-11-23,1125
2020-11-23 11:30:00,255.5,2020-11-23,1130
2020-11-23 13:05:00,254.46,2020-11-23,1305
2020-11-23 13:10:00,255.03,2020-11-23,1310
2020-11-23 13:15:00,256.0,2020-11-23,1315
2020-11-23 13:20:00,255.64,2020-11-23,1320
2020-11-23 13:25:00,255.15,2020-11-23,1325
2020-11-23 13:30:00,254.87,2020-11-23,1330
2020-11-23 13:35:00,254.63,2020-11-23,1335
2020-11-23 13:40:00,254.7,2020-11-23,1340
2020-11-23 13:45:00,253.8,2020-11-23,1345
2020-11-23 13:50:00,253.5,2020-11-23,1350
2020-11-23 13:55:00,253.5,2020-11-23,1355
2020-11-23 14:00:00,252.8,2020-11-23,1400
2020-11-23 14:05:00,252.29,2020-11-23,1405
2020-11-23 14:10:00,251.61,2020-11-23,1410
2020-11-23 14:15:00,251.89,2020-11-23,1415
2020-11-23 14:20:00,251.4,2020-11-23,1420
2020-11-23 14:25:00,250.83,2020-11-23,1425
2020-11-23 14:30:00,250.63,2020-11-23,1430
2020-11-23 14:35:00,251.4,2020-11-23,1435
2020-11-23 14:40:00,252.0,2020-11-23,1440
2020-11-23 14:45:00,251.78,2020-11-23,1445
2020-11-23 14:50:00,251.97,2020-11-23,1450
2020-11-23 14:55:00,251.57,2020-11-23,1455
2020-11-23 15:00:00,253.0,2020-11-23,1500
2020-11-24 09:35:00,258.89,2020-11-24,0935
2020-11-24 09:40:00,255.48,2020-11-24,0940
2020-11-24 09:45:00,257.2,2020-11-24,0945
